,word,count
52373,building,63.19477960206118
36537,bathroom,64.04425004976653
214314,park,64.51425495515102
68919,close,65.89803087761214
139722,guests,66.3620098704084
175216,living,66.54312469132478
271481,space,67.01567696864527
10729,access,67.87708974432545
266504,skytrain,68.0886847529436
215366,parking,70.77887088604903
225744,please,72.15247433057183
245876,restaurants,74.12556654668201
176381,located,75.63439588135935
54027,bus,77.42913535082187
208867,one,77.85375788961476
21902,apartment,79.83892287920402
40339,bed,80.40557202122646
282536,street,82.01169558247206
31373,away,82.2126313468897
163596,kitchen,82.3551590035749
191589,minutes,82.45067696502306
231290,private,87.35998564971426
41391,bedroom,94.39012471120918
320113,walk,98.44805714360474
146651,home,100.30138054797365
97721,downtown,103.94391029747531
150453,house,105.20195394564514
286318,suite,109.68253292018807
249528,room,113.80794165723181
313873,vancouver,136.39655474540237
